,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid,flux,timedays,simulated_flux,simulated_mag,original_mag
92,793110400000661,48334156,2458237.843657813,58237.3415625,19.4546471,0.0902263075,0,zg,226.8304023,55.7471314,0.967999995,0.126000002,20180429341528,793,0xa,0x4,20.0599995,26.2550755,0.0377097018,-0.0237613656,5.32279482e-05,30,1.074,3,0.05999860597817684,58237.3415625,0.05999860597817684,19.454647099999995,19.454647099999995
93,793110400000661,48334247,2458237.84457218,58237.3424769,19.5677013,0.0983580947,0,zg,226.8302786,55.7473071,0.670000017,-0.356999993,20180429342465,793,0xa,0x4,20.0200005,26.2531338,0.0366903841,-0.0130509529,5.11154576e-05,30,1.074,2,0.05406540741426224,58237.3424769,0.05406540741426224,19.567701300000003,19.567701300000003
94,793110400000661,48337462,2458237.876724257,58237.3746296,19.3109894,0.080772683,0,zg,226.8301655,55.7472322,0.873000026,-0.074000001,20180429374583,793,0xa,0x4,20.0300007,26.2634525,0.0369684286,-0.0250703823,5.29173158e-05,30,1.08399999,2,0.06848638453920865,58237.3746296,0.06848638453920865,19.310989400000004,19.310989400000004
95,793110400000661,48345666,2458237.958759729,58237.4566667,19.455864,0.0903105736,0,zg,226.8301586,55.7471832,0.736999989,-0.195999995,20180429456655,793,0xa,0x4,20.1000004,26.2504444,0.0350145586,-0.0455905646,4.41113298e-05,30,1.22399998,2,0.05993139683266644,58237.4566667,0.05993139683266644,19.455864,19.455864
96,793110400000661,48346373,2458237.9658312867,58237.4637384,19.45298,0.0901110545,0,zg,226.8299769,55.7472026,0.470999986,-0.162,20180429463704,793,0xa,0x4,20.0599995,26.244566,0.0369647183,-0.0462351888,5.18450943e-05,30,1.24600005,3,0.060090801951631724,58237.4637384,0.060090801951631724,19.452980000000004,19.452980000000004
97,793110400000661,48346608,2458237.968180833,58237.466088,19.5213242,0.094947271,0,zg,226.8302115,55.7472474,0.532000005,-0.126000002,20180429466088,793,0xa,0x4,19.9500008,26.2469101,0.0327340774,-0.0547016822,4.05406136e-05,30,1.25300002,2,0.05642483788838154,58237.466088,0.05642483788838154,19.521324200000002,19.521324200000002
98,793110400000661,48838611,2458242.8881007284,58242.3861111,19.5136318,0.0943916366,0,zg,226.83022,55.7471613,1.14999998,-0.0450000018,20180504386100,793,0xa,0x4,21.1000004,26.2924538,0.0343702622,-0.0810753629,2.61323148e-05,30,1.10800004,2,0.05682602525400417,58242.3861111,0.05682602525400417,19.513631800000006,19.513631800000006
99,793110400000661,48839363,2458242.8956237636,58242.3936343,19.6126575,0.101764858,0,zg,226.8302655,55.7471125,0.614000022,-0.0920000002,20180504393611,793,0xa,0x4,21.1900005,26.2775745,0.0317036621,-0.0800750256,2.22484632e-05,30,1.11800003,1,0.05187247857694507,58242.3936343,0.05187247857694507,19.612657500000005,19.612657500000005
100,793110400000661,48839460,2458242.8965959335,58242.3946065,19.5877018,0.0998614281,0,zg,226.8302931,55.7471938,1.13499999,0.00800000038,20180504394572,793,0xa,0x4,21.1000004,26.2906189,0.0341399685,-0.0876683667,2.52206628e-05,30,1.11899996,3,0.05307857807389547,58242.3946065,0.05307857807389547,19.587701799999998,19.587701799999998
101,793110400000661,48840841,2458242.9104035236,58242.4084144,19.4514198,0.090003252,0,zg,226.8301298,55.7471857,0.828999996,-0.0649999976,20180504408414,793,0xa,0x4,21.1499996,26.2934284,0.0330019221,-0.100037962,2.41432299e-05,30,1.14199996,2,0.060177214344399745,58242.4084144,0.060177214344399745,19.451419800000004,19.451419800000004
102,793110400000661,48842167,2458242.9236670216,58242.4216782,19.5259056,0.0952795297,0,zg,226.8302253,55.7471974,0.902999997,0.0320000015,20180504421678,793,0xa,0x4,21.1700001,26.279026,0.0304208528,-0.0828114003,2.03817817e-05,30,1.16900003,2,0.056187247835765584,58242.4216782,0.056187247835765584,19.52590560000001,19.52590560000001
